age_years,height_cm,height_p,p90_sys,p90_dia,p95_sys,p95_dia,p95_sys_plus_12,p95_dia_plus_12
1,77.2,5,98,52,102,54,114,66
1,78.3,10,99,52,102,54,114,66
1,80.2,25,99,53,103,55,115,67
1,82.4,50,100,53,103,55,115,67
1,84.6,75,100,54,104,56,116,68
1,86.7,90,101,54,105,57,117,69
1,87.9,95,101,54,105,57,117,69
2,86.1,5,100,55,104,57,116,69
2,87.4,10,100,55,105,58,117,70
2,89.6,25,101,56,105,58,117,70
2,92.1,50,102,56,106,59,118,71
2,94.7,75,103,57,107,60,119,72
2,97.1,90,103,58,107,61,119,73
2,98.5,95,104,58,108,61,120,73
3,92.5,5,101,58,106,60,118,72
3,93.9,10,102,58,106,61,118,73
3,96.3,25,102,59,107,61,119,73
3,99.0,50,103,59,107,62,119,74
3,101.8,75,104,60,108,63,120,75
3,104.3,90,105,61,109,64,121,76
3,105.8,95,105,61,109,64,121,76
4,98.5,5,102,60,107,63,119,75
4,100.2,10,103,61,107,64,119,76
4,102.9,25,104,62,108,65,120,77
4,105.9,50,105,62,108,66,120,78
4,108.9,75,105,63,109,67,121,79
4,111.5,90,106,64,110,67,122,79
4,113.2,95,107,64,110,68,122,80
5,104.4,5,103,63,107,66,119,78
5,106.2,10,104,64,108,67,120,79
5,109.1,25,105,65,109,68,121,80
5,112.4,50,106,65,109,69,121,81
5,115.7,75,107,66,110,70,122,82
5,118.6,90,108,67,111,70,123,82
5,120.3,95,108,67,112,71,124,83
6,110.3,5,105,66,108,69,120,81
6,112.2,10,105,66,109,70,121,82
6,115.3,25,106,67,110,70,122,82
6,118.9,50,107,68,111,71,123,83
6,122.4,75,109,68,112,72,124,84
6,125.6,90,110,69,113,72,125,84
6,127.5,95,110,69,114,73,126,85
7,116.1,5,106,68,110,71,122,83
7,118.0,10,107,68,110,71,122,83
7,121.4,25,108,69,111,72,123,84
7,125.1,50,109,70,112,73,124,85
7,128.9,75,110,70,114,73,126,85
7,132.4,90,111,71,115,74,127,86
7,134.5,95,111,71,116,74,128,86
8,121.4,5,107,69,111,72,123,84
8,123.5,10,108,70,112,73,124,85
8,127.0,25,109,70,112,73,124,85
8,131.0,50,110,71,114,74,126,86
8,135.1,75,111,72,115,75,127,87
8,138.8,90,112,72,116,75,128,87
8,141.0,95,112,73,117,75,129,87
9,126.0,5,107,70,112,74,124,86
9,128.3,10,108,71,112,74,124,86
9,132.1,25,109,72,113,75,125,87
9,136.3,50,110,73,115,76,127,88
9,140.7,75,112,74,116,76,128,88
9,144.7,90,113,74,118,77,130,89
9,147.1,95,114,74,119,77,131,89
10,130.2,5,108,72,112,76,124,88
10,132.7,10,109,73,113,76,125,88
10,136.7,25,111,74,114,77,126,89
10,141.3,50,112,74,116,77,128,89
10,145.9,75,113,75,118,78,130,90
10,150.1,90,115,75,120,78,132,90
10,152.7,95,116,76,121,78,133,90
11,134.7,5,110,74,114,77,126,89
11,137.3,10,111,74,114,78,126,90
11,141.5,25,112,75,116,78,128,90
11,146.4,50,114,75,118,78,130,90
11,151.3,75,116,75,120,78,132,90
11,155.8,90,117,76,123,78,135,90
11,158.6,95,118,76,124,78,136,90
12,140.3,5,113,75,116,78,128,90
12,143.0,10,114,75,117,78,129,90
12,147.5,25,115,75,118,78,130,90
12,152.7,50,117,75,121,78,133,90
12,157.9,75,119,75,124,78,136,90
12,162.6,90,121,76,126,79,138,91
12,165.5,95,122,76,128,79,140,91
13,147.0,5,115,74,119,78,131,90
13,150.0,10,116,74,120,78,132,90
13,154.9,25,118,74,122,78,134,90
13,160.3,50,121,75,125,78,137,90
13,165.7,75,124,76,128,80,140,92
13,170.5,90,126,77,130,81,142,93
13,173.4,95,126,77,131,81,143,93
14,153.8,5,119,74,123,77,135,89
14,156.9,10,120,74,125,78,137,90
14,162.0,25,123,75,127,79,139,91
14,167.5,50,126,77,130,81,142,93
14,172.7,75,127,78,132,82,144,94
14,177.4,90,128,79,133,83,145,95
14,180.1,95,129,80,134,84,146,96
15,159.0,5,123,75,127,78,139,90
15,162.0,10,124,76,129,79,141,91
15,166.9,25,126,78,131,81,143,93
15,172.2,50,128,79,132,83,144,95
15,177.2,75,129,80,134,84,146,96
15,181.6,90,130,81,135,85,147,97
15,184.2,95,130,81,135,85,147,97
16,162.1,5,126,77,130,80,142,92
16,165.0,10,127,78,131,81,143,93
16,169.6,25,128,79,133,83,145,95
16,174.6,50,129,80,134,84,146,96
16,179.5,75,131,81,135,85,147,97
16,183.8,90,131,82,136,86,148,98
16,186.4,95,132,82,137,86,149,98
17,163.8,5,128,78,132,81,144,93
17,166.5,10,129,79,133,82,145,94
17,170.9,25,130,80,134,84,146,96
17,175.8,50,131,81,135,85,147,97
17,180.7,75,132,82,137,86,149,98
17,184.9,90,133,82,138,86,150,98
17,187.5,95,134,83,138,87,150,99
