age_years,height_cm,height_p,p90_sys,p90_dia,p95_sys,p95_dia,p95_sys_plus_12,p95_dia_plus_12
1,75.4,5,98,54,101,59,113,71
1,76.6,10,99,55,102,59,114,71
1,78.6,25,99,56,102,60,114,72
1,80.8,50,100,56,103,60,115,72
1,83.0,75,101,57,104,61,116,73
1,84.9,90,102,58,105,62,117,74
1,86.1,95,102,58,105,62,117,74
2,84.9,5,101,58,104,62,116,74
2,86.3,10,101,58,105,63,117,75
2,88.6,25,102,59,106,63,118,75
2,91.1,50,103,60,106,64,118,76
2,93.7,75,104,61,107,65,119,77
2,96.0,90,105,62,108,66,120,78
2,97.4,95,106,62,109,66,121,78
3,91.0,5,102,60,106,64,118,76
3,92.4,10,103,61,106,65,118,77
3,94.9,25,104,61,107,65,119,77
3,97.6,50,104,62,108,66,120,78
3,100.5,75,105,63,109,67,121,79
3,103.1,90,106,64,110,68,122,80
3,104.6,95,107,65,110,69,122,81
4,97.2,5,103,62,107,66,119,78
4,98.8,10,104,63,108,67,120,79
4,101.4,25,105,64,109,68,121,80
4,104.5,50,106,65,109,69,121,81
4,107.6,75,107,66,110,70,122,82
4,110.5,90,108,67,111,70,123,82
4,112.2,95,108,67,112,71,124,83
5,103.6,5,104,64,108,68,120,80
5,105.3,10,105,65,109,69,121,81
5,108.2,25,106,66,109,70,121,82
5,111.5,50,107,67,110,71,122,83
5,114.9,75,108,68,111,72,123,84
5,118.1,90,109,69,112,73,124,85
5,120.0,95,110,70,113,73,125,85
6,110.0,5,105,67,109,70,121,82
6,111.8,10,106,67,109,71,121,83
6,114.9,25,107,68,110,72,122,84
6,118.4,50,108,69,111,72,123,84
6,122.1,75,109,70,112,73,124,85
6,125.6,90,110,71,113,74,125,86
6,127.7,95,111,71,114,74,126,86
7,115.9,5,106,68,109,72,121,84
7,117.8,10,106,68,110,72,122,84
7,121.1,25,107,69,111,73,123,85
7,124.9,50,109,70,112,73,124,85
7,128.8,75,110,71,113,74,125,86
7,132.5,90,111,72,114,74,126,86
7,134.7,95,112,72,115,75,127,87
8,121.0,5,107,69,110,72,122,84
8,123.0,10,107,70,111,73,123,85
8,126.5,25,108,71,112,74,124,86
8,130.6,50,110,72,113,74,125,86
8,134.7,75,111,72,115,75,127,87
8,138.5,90,112,73,116,75,128,87
8,140.9,95,113,73,117,75,129,87
9,125.3,5,108,71,112,74,124,86
9,127.6,10,108,71,112,74,124,86
9,131.3,25,109,72,113,75,125,87
9,135.6,50,111,73,114,75,126,87
9,140.1,75,112,73,116,75,128,87
9,144.1,90,113,73,117,75,129,87
9,146.6,95,114,73,118,75,130,87
10,129.7,5,109,72,113,75,125,87
10,132.2,10,110,73,114,75,126,87
10,136.3,25,111,73,114,76,126,88
10,141.0,50,112,73,116,76,128,88
10,145.8,75,113,73,117,76,129,88
10,150.2,90,115,73,119,76,131,88
10,152.8,95,116,73,120,76,132,88
11,135.6,5,111,74,115,76,127,88
11,138.3,10,112,74,116,77,128,89
11,142.8,25,113,74,117,77,129,89
11,147.8,50,114,74,118,77,130,89
11,152.8,75,116,74,120,77,132,89
11,157.3,90,118,75,123,77,135,89
11,160.0,95,120,75,124,77,136,89
12,142.8,5,114,75,118,78,130,90
12,145.5,10,115,75,119,78,131,90
12,149.9,25,116,75,120,78,132,90
12,154.8,50,118,75,122,78,134,90
12,159.6,75,120,76,124,79,136,91
12,163.8,90,122,76,125,79,137,91
12,166.4,95,122,76,126,79,138,91
13,148.1,5,116,75,121,79,133,91
13,150.6,10,117,75,122,79,134,91
13,154.7,25,119,75,123,79,135,91
13,159.2,50,121,76,124,79,136,91
13,163.7,75,122,76,126,80,138,92
13,167.8,90,123,76,126,80,138,92
13,170.2,95,123,76,127,81,139,93
14,150.6,5,118,76,123,80,135,92
14,153.0,10,118,76,123,80,135,92
14,156.9,25,120,76,124,80,136,92
14,161.3,50,122,76,125,80,137,92
14,165.7,75,123,77,126,81,138,93
14,169.7,90,123,77,127,81,139,93
14,172.1,95,123,77,127,82,139,94
15,151.7,5,118,76,124,80,136,92
15,154.0,10,119,76,124,80,136,92
15,157.9,25,121,76,125,80,137,92
15,162.3,50,122,77,126,81,138,93
15,166.7,75,123,77,127,82,139,94
15,170.6,90,123,78,127,82,139,94
15,173.0,95,124,78,128,82,140,94
16,152.1,5,119,76,124,80,136,92
16,154.5,10,120,76,125,80,137,92
16,158.4,25,122,76,125,80,137,92
16,162.8,50,123,77,127,81,139,93
16,167.1,75,124,78,127,82,139,94
16,171.1,90,124,78,128,82,140,94
16,173.4,95,124,78,128,82,140,94
17,154.4,5,120,76,125,80,137,92
17,154.7,10,121,76,125,80,137,92
17,158.7,25,123,77,126,80,138,92
17,163.0,50,124,77,127,81,139,93
17,167.4,75,124,78,128,82,140,94
17,171.3,90,125,78,128,82,140,94
17,173.7,95,125,78,128,82,140,94
