age_months,p3,p15,p50,p85,p97
0,11.2,12.1,13.3,14.7,15.9
1,12.1,13.2,14.6,16.1,17.3
2,13.2,14.3,15.8,17.4,18.8
3,13.7,14.9,16.4,18,19.4
4,14,15.2,16.7,18.3,19.8
5,14.2,15.3,16.8,18.5,20
6,14.3,15.4,16.9,18.6,20.1
7,14.3,15.4,16.9,18.6,20.1
8,14.3,15.4,16.8,18.5,20
9,14.2,15.3,16.7,18.4,19.9
10,14.1,15.2,16.6,18.2,19.7
11,14,15.1,16.5,18.1,19.6
12,13.9,15,16.4,17.9,19.4
13,13.8,14.8,16.2,17.8,19.2
14,13.7,14.7,16.1,17.7,19.1
15,13.7,14.6,16,17.5,19
16,13.6,14.6,15.9,17.4,18.8
17,13.5,14.5,15.8,17.3,18.7
18,13.4,14.4,15.7,17.2,18.6
19,13.4,14.3,15.7,17.2,18.5
20,13.3,14.3,15.6,17.1,18.5
21,13.3,14.2,15.5,17,18.4
22,13.3,14.2,15.5,17,18.3
23,13.2,14.2,15.4,16.9,18.3
24,13.5,14.4,15.7,17.2,18.5
25,13.4,14.4,15.7,17.1,18.5
26,13.4,14.4,15.6,17.1,18.5
27,13.4,14.3,15.6,17.1,18.4
28,13.4,14.3,15.6,17,18.4
29,13.4,14.3,15.6,17,18.4
30,13.3,14.3,15.5,17,18.3
31,13.3,14.2,15.5,17,18.3
32,13.3,14.2,15.5,16.9,18.3
33,13.3,14.2,15.5,16.9,18.3
34,13.2,14.2,15.4,16.9,18.2
35,13.2,14.1,15.4,16.9,18.2
36,13.2,14.1,15.4,16.9,18.2
37,13.2,14.1,15.4,16.8,18.2
38,13.2,14.1,15.4,16.8,18.2
39,13.1,14.1,15.3,16.8,18.2
40,13.1,14,15.3,16.8,18.2
41,13.1,14,15.3,16.8,18.2
42,13.1,14,15.3,16.8,18.2
43,13,14,15.3,16.8,18.2
44,13,14,15.3,16.8,18.2
45,13,14,15.3,16.8,18.3
46,13,13.9,15.3,16.8,18.3
47,13,13.9,15.3,16.8,18.3
48,12.9,13.9,15.3,16.8,18.3
49,12.9,13.9,15.3,16.8,18.3
50,12.9,13.9,15.3,16.8,18.3
51,12.9,13.9,15.3,16.8,18.4
52,12.9,13.9,15.2,16.9,18.4
53,12.9,13.9,15.3,16.9,18.4
54,12.9,13.9,15.3,16.9,18.4
55,12.9,13.9,15.3,16.9,18.4
56,12.8,13.8,15.3,16.9,18.5
57,12.8,13.8,15.3,16.9,18.5
58,12.8,13.8,15.3,16.9,18.5
59,12.8,13.8,15.3,16.9,18.5
60,12.8,13.8,15.3,17,18.6
