age_months,p3,p15,p50,p85,p97
0,31.7,32.7,33.9,35.1,36.1
1,34.3,35.3,36.5,37.8,38.8
2,36,37,38.3,39.5,40.5
3,37.2,38.2,39.5,40.8,41.9
4,38.2,39.3,40.6,41.9,43
5,39,40.1,41.5,42.8,43.9
6,39.7,40.8,42.2,43.5,44.6
7,40.4,41.5,42.8,44.2,45.3
8,40.9,42,43.4,44.7,45.9
9,41.3,42.4,43.8,45.2,46.3
10,41.7,42.8,44.2,45.6,46.8
11,42,43.2,44.6,46,47.1
12,42.3,43.5,44.9,46.3,47.5
13,42.6,43.8,45.2,46.6,47.7
14,42.9,44,45.4,46.8,48
15,43.1,44.2,45.7,47.1,48.2
16,43.3,44.4,45.9,47.3,48.5
17,43.5,44.6,46.1,47.5,48.7
18,43.6,44.8,46.2,47.7,48.8
19,43.8,45,46.4,47.8,49
20,44,45.1,46.6,48,49.2
21,44.1,45.3,46.7,48.2,49.4
22,44.3,45.4,46.9,48.3,49.5
23,44.4,45.6,47,48.5,49.7
24,44.6,45.7,47.2,48.6,49.8
25,44.7,45.9,47.3,48.8,49.9
26,44.8,46,47.5,48.9,50.1
27,44.9,46.1,47.6,49,50.2
28,45.1,46.3,47.7,49.2,50.3
29,45.2,46.4,47.8,49.3,50.5
30,45.3,46.5,47.9,49.4,50.6
31,45.4,46.6,48,49.5,50.7
32,45.5,46.7,48.1,49.6,50.8
33,45.6,46.8,48.2,49.7,50.9
34,45.7,46.9,48.3,49.8,51
35,45.8,47,48.4,49.9,51.1
36,45.9,47,48.5,50,51.2
37,45.9,47.1,48.6,50.1,51.3
38,46,47.2,48.7,50.1,51.3
39,46.1,47.3,48.7,50.2,51.4
40,46.2,47.4,48.8,50.3,51.5
41,46.2,47.4,48.9,50.4,51.6
42,46.3,47.5,49,50.4,51.6
43,46.4,47.6,49,50.5,51.7
44,46.4,47.6,49.1,50.6,51.8
45,46.5,47.7,49.2,50.6,51.8
46,46.5,47.7,49.2,50.7,51.9
47,46.6,47.8,49.3,50.7,51.9
48,46.7,47.9,49.3,50.8,52
49,46.7,47.9,49.4,50.9,52.1
50,46.8,48,49.4,50.9,52.1
51,46.8,48,49.5,51,52.2
52,46.9,48.1,49.5,51,52.2
53,46.9,48.1,49.6,51.1,52.3
54,47,48.2,49.6,51.1,52.3
55,47,48.2,49.7,51.2,52.4
56,47.1,48.3,49.7,51.2,52.4
57,47.1,48.3,49.8,51.3,52.5
58,47.2,48.4,49.8,51.3,52.5
59,47.2,48.4,49.9,51.4,52.6
60,47.2,48.4,49.9,51.4,52.6
