age_months,P3,P15,P50,P85,P97
0,32.1,33.1,34.5,35.8,36.9
1,35.1,36.1,37.3,38.5,39.5
2,36.9,37.9,39.1,40.3,41.3
3,38.3,39.3,40.5,41.7,42.7
4,39.4,40.4,41.6,42.9,43.9
5,40.3,41.3,42.6,43.8,44.8
6,41.0,42.1,43.3,44.6,45.6
7,41.7,42.7,44.0,45.3,46.3
8,42.2,43.2,44.5,45.8,46.9
9,42.6,43.7,45.0,46.3,47.4
10,43.0,44.1,45.4,46.7,47.8
11,43.4,44.4,45.8,47.1,48.2
12,43.6,44.7,46.1,47.4,48.5
13,43.9,45.0,46.3,47.7,48.8
14,44.1,45.2,46.6,47.9,49.0
15,44.3,45.5,46.8,48.2,49.3
16,44.5,45.6,47.0,48.4,49.5
17,44.7,45.8,47.2,48.6,49.7
18,44.9,46.0,47.4,48.7,49.9
19,45.0,46.2,47.5,48.9,50.0
20,45.2,46.3,47.7,49.1,50.2
21,45.3,46.4,47.8,49.2,50.4
22,45.4,46.6,48.0,49.4,50.5
23,45.6,46.7,48.1,49.5,50.7
24,45.7,46.8,48.3,49.7,50.8
