age_months,P3,P15,P50,P85,P97
0,46.3,47.9,49.9,51.8,53.4
1,51.1,52.7,54.7,56.7,58.4
2,54.7,56.4,58.4,60.5,62.2
3,57.6,59.3,61.4,63.5,65.3
4,60.0,61.7,63.9,66.0,67.8
5,61.9,63.7,65.9,68.1,69.9
6,63.6,65.4,67.6,69.8,71.6
7,65.1,66.9,69.2,71.4,73.2
8,66.5,68.3,70.6,72.9,74.7
9,67.7,69.6,72.0,74.3,76.2
10,69.0,70.9,73.3,75.6,77.6
11,70.2,72.1,74.5,77.0,78.9
12,71.3,73.3,75.7,78.2,80.2
13,72.4,74.4,76.9,79.4,81.5
14,73.4,75.5,78.0,80.6,82.7
15,74.4,76.5,79.1,81.8,83.9
16,75.4,77.5,80.2,82.9,85.1
17,76.3,78.5,81.2,84.0,86.2
18,77.2,79.5,82.3,85.1,87.3
19,78.1,80.4,83.2,86.1,88.4
20,78.9,81.3,84.2,87.1,89.5
21,79.7,82.2,85.1,88.1,90.5
22,80.5,83.0,86.0,89.1,91.6
23,81.3,83.8,86.9,90.0,92.6
24,81.4,83.9,87.1,90.3,92.9
25,82.1,84.7,88,91.2,93.8
26,82.8,85.5,88.8,92.1,94.8
27,83.5,86.3,89.6,93,95.7
28,84.2,87,90.4,93.8,96.6
29,84.9,87.7,91.2,94.7,97.5
30,85.5,88.4,91.9,95.5,98.3
31,86.2,89.1,92.7,96.2,99.2
32,86.8,89.7,93.4,97,100
33,87.4,90.4,94.1,97.8,100.8
34,88,91,94.8,98.5,101.5
35,88.5,91.6,95.4,99.2,102.3
36,89.1,92.2,96.1,99.9,103.1
37,89.7,92.8,96.7,100.6,103.8
38,90.2,93.4,97.4,101.3,104.5
39,90.8,94,98,102,105.2
40,91.3,94.6,98.6,102.7,105.9
41,91.9,95.2,99.2,103.3,106.6
42,92.4,95.7,99.9,104,107.3
43,92.9,96.3,100.4,104.6,108
44,93.4,96.8,101,105.2,108.6
45,93.9,97.4,101.6,105.8,109.3
46,94.4,97.9,102.2,106.5,109.9
47,94.9,98.5,102.8,107.1,110.6
48,95.4,99,103.3,107.7,111.2
49,95.9,99.5,103.9,108.3,111.8
50,96.4,100,104.4,108.9,112.5
51,96.9,100.5,105,109.5,113.1
52,97.4,101.1,105.6,110.1,113.7
53,97.9,101.6,106.1,110.7,114.3
54,98.4,102.1,106.7,111.2,115
55,98.8,102.6,107.2,111.8,115.6
56,99.3,103.1,107.8,112.4,116.2
57,99.8,103.6,108.3,113,116.8
58,100.3,104.1,108.9,113.6,117.4
59,100.8,104.7,109.4,114.2,118.1
60,101.2,105.2,110,114.8,118.7
