age_months,p3,p15,p50,p85,p97
0,2.5,2.9,3.3,3.9,4.3
1,3.4,3.9,4.5,5.1,5.7
2,4.4,4.9,5.6,6.3,7
3,5.1,5.6,6.4,7.2,7.9
4,5.6,6.2,7,7.9,8.6
5,6.1,6.7,7.5,8.4,9.2
6,6.4,7.1,7.9,8.9,9.7
7,6.7,7.4,8.3,9.3,10.2
8,7,7.7,8.6,9.6,10.5
9,7.2,7.9,8.9,10,10.9
10,7.5,8.2,9.2,10.3,11.2
11,7.7,8.4,9.4,10.5,11.5
12,7.8,8.6,9.6,10.8,11.8
13,8,8.8,9.9,11.1,12.1
14,8.2,9,10.1,11.3,12.4
15,8.4,9.2,10.3,11.6,12.7
16,8.5,9.4,10.5,11.8,12.9
17,8.7,9.6,10.7,12,13.2
18,8.9,9.7,10.9,12.3,13.5
19,9,9.9,11.1,12.5,13.7
20,9.2,10.1,11.3,12.7,14
21,9.3,10.3,11.5,13,14.3
22,9.5,10.5,11.8,13.2,14.5
23,9.7,10.6,12,13.4,14.8
24,9.8,10.8,12.2,13.7,15.1
25,10,11,12.4,13.9,15.3
26,10.1,11.1,12.5,14.1,15.6
27,10.2,11.3,12.7,14.4,15.9
28,10.4,11.5,12.9,14.6,16.1
29,10.5,11.6,13.1,14.8,16.4
30,10.7,11.8,13.3,15,16.6
31,10.8,11.9,13.5,15.2,16.9
32,10.9,12.1,13.7,15.5,17.1
33,11.1,12.2,13.8,15.7,17.3
34,11.2,12.4,14,15.9,17.6
35,11.3,12.5,14.2,16.1,17.8
36,11.4,12.7,14.3,16.3,18
37,11.6,12.8,14.5,16.5,18.3
38,11.7,12.9,14.7,16.7,18.5
39,11.8,13.1,14.8,16.9,18.7
40,11.9,13.2,15,17.1,19
41,12.1,13.4,15.2,17.3,19.2
42,12.2,13.5,15.3,17.5,19.4
43,12.3,13.6,15.5,17.7,19.7
44,12.4,13.8,15.7,17.9,19.9
45,12.5,13.9,15.8,18.1,20.1
46,12.7,14.1,16,18.3,20.4
47,12.8,14.2,16.2,18.5,20.6
48,12.9,14.3,16.3,18.7,20.9
49,13,14.5,16.5,18.9,21.1
50,13.1,14.6,16.7,19.1,21.3
51,13.3,14.7,16.8,19.3,21.6
52,13.4,14.9,17,19.5,21.8
53,13.5,15,17.2,19.7,22.1
54,13.6,15.2,17.3,19.9,22.3
55,13.7,15.3,17.5,20.1,22.5
56,13.8,15.4,17.7,20.3,22.8
57,13.9,15.6,17.8,20.5,23
58,14.1,15.7,18,20.7,23.3
59,14.2,15.8,18.2,20.9,23.5
60,14.3,16,18.3,21.1,23.8
