age_months,p3,p15,p50,p85,p97
0,11.3,12.2,13.4,14.8,16.1
1,12.6,13.6,14.9,16.4,17.6
2,13.8,14.9,16.3,17.8,19.2
3,14.4,15.5,16.9,18.5,19.8
4,14.7,15.7,17.2,18.7,20.1
5,14.8,15.9,17.3,18.9,20.2
6,14.9,15.9,17.3,18.9,20.3
7,14.9,15.9,17.3,18.9,20.3
8,14.9,15.9,17.3,18.8,20.2
9,14.8,15.8,17.2,18.7,20.1
10,14.7,15.7,17,18.6,19.9
11,14.6,15.6,16.9,18.4,19.8
12,14.5,15.5,16.8,18.3,19.6
13,14.4,15.4,16.7,18.1,19.5
14,14.3,15.3,16.6,18,19.3
15,14.2,15.2,16.4,17.9,19.2
16,14.2,15.1,16.3,17.8,19.1
17,14.1,15,16.2,17.6,18.9
18,14,14.9,16.1,17.5,18.8
19,13.9,14.8,16.1,17.4,18.7
20,13.9,14.8,16,17.4,18.6
21,13.8,14.7,15.9,17.3,18.6
22,13.8,14.6,15.8,17.2,18.5
23,13.7,14.6,15.8,17.1,18.4
24,13.9,14.8,16,17.4,18.7
25,13.9,14.8,16,17.4,18.6
26,13.8,14.7,15.9,17.3,18.6
27,13.8,14.7,15.9,17.3,18.5
28,13.8,14.7,15.9,17.2,18.5
29,13.7,14.6,15.8,17.2,18.4
30,13.7,14.6,15.8,17.2,18.4
31,13.7,14.5,15.8,17.1,18.4
32,13.6,14.5,15.7,17.1,18.3
33,13.6,14.5,15.7,17,18.3
34,13.5,14.4,15.7,17,18.2
35,13.5,14.4,15.6,17,18.2
36,13.5,14.4,15.6,17,18.2
37,13.5,14.4,15.6,16.9,18.1
38,13.4,14.3,15.5,16.9,18.1
39,13.4,14.3,15.5,16.9,18.1
40,13.4,14.3,15.5,16.8,18.1
41,13.3,14.2,15.5,16.8,18
42,13.3,14.2,15.4,16.8,18
43,13.3,14.2,15.4,16.8,18
44,13.3,14.2,15.4,16.8,18
45,13.2,14.2,15.4,16.8,18
46,13.2,14.1,15.4,16.7,18
47,13.2,14.1,15.3,16.7,18
48,13.2,14.1,15.3,16.7,18
49,13.2,14.1,15.3,16.7,18
50,13.2,14.1,15.3,16.7,18
51,13.1,14,15.3,16.7,18
52,13.1,14,15.3,16.7,18
53,13.1,14,15.3,16.7,18
54,13.1,14,15.3,16.7,18
55,13.1,14,15.2,16.7,18
56,13.1,14,15.2,16.7,18
57,13,14,15.2,16.7,18
58,13,13.9,15.2,16.7,18
59,13,13.9,15.2,16.7,18.1
60,13,13.9,15.2,16.7,18.1
