age_months,p3,p15,p50,p85,p97
0,32.1,33.1,34.5,35.8,36.9
1,35.1,36.1,37.3,38.5,39.5
2,36.9,37.9,39.1,40.3,41.3
3,38.3,39.3,40.5,41.7,42.7
4,39.4,40.4,41.6,42.9,43.9
5,40.3,41.3,42.6,43.8,44.8
6,41,42.1,43.3,44.6,45.6
7,41.7,42.7,44,45.3,46.3
8,42.2,43.2,44.5,45.8,46.9
9,42.6,43.7,45,46.3,47.4
10,43,44.1,45.4,46.7,47.8
11,43.4,44.4,45.8,47.1,48.2
12,43.6,44.7,46.1,47.4,48.5
13,43.9,45,46.3,47.7,48.8
14,44.1,45.2,46.6,47.9,49
15,44.3,45.5,46.8,48.2,49.3
16,44.5,45.6,47,48.4,49.5
17,44.7,45.8,47.2,48.6,49.7
18,44.9,46,47.4,48.7,49.9
19,45,46.2,47.5,48.9,50
20,45.2,46.3,47.7,49.1,50.2
21,45.3,46.4,47.8,49.2,50.4
22,45.4,46.6,48,49.4,50.5
23,45.6,46.7,48.1,49.5,50.7
24,45.7,46.8,48.3,49.7,50.8
25,45.8,47,48.4,49.8,50.9
26,45.9,47.1,48.5,49.9,51.1
27,46,47.2,48.6,50,51.2
28,46.1,47.3,48.7,50.2,51.3
29,46.2,47.4,48.8,50.3,51.4
30,46.3,47.5,48.9,50.4,51.6
31,46.4,47.6,49,50.5,51.7
32,46.5,47.7,49.1,50.6,51.8
33,46.6,47.8,49.2,50.7,51.9
34,46.6,47.8,49.3,50.8,52
35,46.7,47.9,49.4,50.8,52
36,46.8,48,49.5,50.9,52.1
37,46.9,48.1,49.5,51,52.2
38,46.9,48.1,49.6,51.1,52.3
39,47,48.2,49.7,51.2,52.4
40,47,48.3,49.7,51.2,52.4
41,47.1,48.3,49.8,51.3,52.5
42,47.2,48.4,49.9,51.4,52.6
43,47.2,48.4,49.9,51.4,52.7
44,47.3,48.5,50,51.5,52.7
45,47.3,48.5,50.1,51.6,52.8
46,47.4,48.6,50.1,51.6,52.8
47,47.4,48.6,50.2,51.7,52.9
48,47.5,48.7,50.2,51.7,53
49,47.5,48.7,50.3,51.8,53
50,47.5,48.8,50.3,51.8,53.1
51,47.6,48.8,50.4,51.9,53.1
52,47.6,48.9,50.4,51.9,53.2
53,47.7,48.9,50.4,52,53.2
54,47.7,49,50.5,52,53.3
55,47.7,49,50.5,52.1,53.3
56,47.8,49,50.6,52.1,53.4
57,47.8,49.1,50.6,52.2,53.4
58,47.9,49.1,50.7,52.2,53.5
59,47.9,49.2,50.7,52.2,53.5
60,47.9,49.2,50.7,52.3,53.5
