age_months,P3,P15,P50,P85,P97
0,46.3,47.9,49.9,51.8,53.4
1,51.1,52.7,54.7,56.7,58.4
2,54.7,56.4,58.4,60.5,62.2
3,57.6,59.3,61.4,63.5,65.3
4,60.0,61.7,63.9,66.0,67.8
5,61.9,63.7,65.9,68.1,69.9
6,63.6,65.4,67.6,69.8,71.6
7,65.1,66.9,69.2,71.4,73.2
8,66.5,68.3,70.6,72.9,74.7
9,67.7,69.6,72.0,74.3,76.2
10,69.0,70.9,73.3,75.6,77.6
11,70.2,72.1,74.5,77.0,78.9
12,71.3,73.3,75.7,78.2,80.2
13,72.4,74.4,76.9,79.4,81.5
14,73.4,75.5,78.0,80.6,82.7
15,74.4,76.5,79.1,81.8,83.9
16,75.4,77.5,80.2,82.9,85.1
17,76.3,78.5,81.2,84.0,86.2
18,77.2,79.5,82.3,85.1,87.3
19,78.1,80.4,83.2,86.1,88.4
20,78.9,81.3,84.2,87.1,89.5
21,79.7,82.2,85.1,88.1,90.5
22,80.5,83.0,86.0,89.1,91.6
23,81.3,83.8,86.9,90.0,92.6
24,82.1,84.6,87.8,91.0,93.6
