age_months,p3,p15,p50,p85,p97
0,2.4,2.8,3.2,3.7,4.2
1,3.2,3.6,4.2,4.8,5.4
2,4,4.5,5.1,5.9,6.5
3,4.6,5.1,5.8,6.7,7.4
4,5.1,5.6,6.4,7.3,8.1
5,5.5,6.1,6.9,7.8,8.7
6,5.8,6.4,7.3,8.3,9.2
7,6.1,6.7,7.6,8.7,9.6
8,6.3,7,7.9,9,10
9,6.6,7.3,8.2,9.3,10.4
10,6.8,7.5,8.5,9.6,10.7
11,7,7.7,8.7,9.9,11
12,7.1,7.9,8.9,10.2,11.3
13,7.3,8.1,9.2,10.4,11.6
14,7.5,8.3,9.4,10.7,11.9
15,7.7,8.5,9.6,10.9,12.2
16,7.8,8.7,9.8,11.2,12.5
17,8,8.8,10,11.4,12.7
18,8.2,9,10.2,11.6,13
19,8.3,9.2,10.4,11.9,13.3
20,8.5,9.4,10.6,12.1,13.5
21,8.7,9.6,10.9,12.4,13.8
22,8.8,9.8,11.1,12.6,14.1
23,9,9.9,11.3,12.8,14.3
24,9.2,10.1,11.5,13.1,14.6
25,9.3,10.3,11.7,13.3,14.9
26,9.5,10.5,11.9,13.6,15.2
27,9.6,10.7,12.1,13.8,15.4
28,9.8,10.8,12.3,14,15.7
29,10,11,12.5,14.3,16
30,10.1,11.2,12.7,14.5,16.2
31,10.3,11.3,12.9,14.7,16.5
32,10.4,11.5,13.1,15,16.8
33,10.5,11.7,13.3,15.2,17
34,10.7,11.8,13.5,15.4,17.3
35,10.8,12,13.7,15.7,17.6
36,11,12.1,13.9,15.9,17.8
37,11.1,12.3,14,16.1,18.1
38,11.2,12.5,14.2,16.3,18.4
39,11.4,12.6,14.4,16.6,18.6
40,11.5,12.8,14.6,16.8,18.9
41,11.6,12.9,14.8,17,19.2
42,11.8,13.1,15,17.3,19.5
43,11.9,13.2,15.2,17.5,19.7
44,12,13.4,15.3,17.7,20
45,12.1,13.5,15.5,17.9,20.3
46,12.3,13.7,15.7,18.2,20.6
47,12.4,13.8,15.9,18.4,20.8
48,12.5,14,16.1,18.6,21.1
49,12.6,14.1,16.3,18.9,21.4
50,12.8,14.3,16.4,19.1,21.7
51,12.9,14.4,16.6,19.3,22
52,13,14.5,16.8,19.5,22.2
53,13.1,14.7,17,19.8,22.5
54,13.2,14.8,17.2,20,22.8
55,13.4,15,17.3,20.2,23.1
56,13.5,15.1,17.5,20.4,23.3
57,13.6,15.3,17.7,20.7,23.6
58,13.7,15.4,17.9,20.9,23.9
59,13.8,15.5,18,21.1,24.2
60,14,15.7,18.2,21.3,24.4
