token,domain,field,raw_value_en,value_norm,map_to_snomed,snomed_concept_id,snomed_fsn,snomed_semantic_tag,mapping_confidence,status,notes
sick.hpi.appearance.irritable,hpi,appearance,Irritable,irritable,TRUE,,,,,pending,
sick.hpi.appearance.lethargic,hpi,appearance,Lethargic,lethargic,TRUE,,,,,pending,
sick.hpi.appearance.tired,hpi,appearance,Tired,tired,TRUE,,,,,pending,
sick.hpi.appearance.well,hpi,appearance,Well,well,TRUE,,,,,pending,
sick.hpi.breathing.fast,hpi,breathing,Fast,fast,TRUE,,,,,pending,
sick.hpi.breathing.labored,hpi,breathing,Labored,labored,TRUE,,,,,pending,
sick.hpi.breathing.noisy,hpi,breathing,Noisy,noisy,TRUE,,,,,pending,
sick.hpi.breathing.normal,hpi,breathing,Normal,normal,TRUE,,,,,pending,
sick.hpi.complaint.abdominal_pain,hpi,complaint,Abdominal pain,abdominal_pain,TRUE,,,,,pending,
sick.hpi.complaint.cough,hpi,complaint,Cough,cough,TRUE,,,,,pending,
sick.hpi.complaint.diarrhea,hpi,complaint,Diarrhea,diarrhea,TRUE,,,,,pending,
sick.hpi.complaint.fever,hpi,complaint,Fever,fever,TRUE,,,,,pending,
sick.hpi.complaint.headache,hpi,complaint,Headache,headache,TRUE,,,,,pending,
sick.hpi.complaint.rash,hpi,complaint,Rash,rash,TRUE,,,,,pending,
sick.hpi.complaint.runny_nose,hpi,complaint,Runny nose,runny_nose,TRUE,,,,,pending,
sick.hpi.complaint.vomiting,hpi,complaint,Vomiting,vomiting,TRUE,,,,,pending,
sick.hpi.context.daycare,hpi,context,Daycare,daycare,TRUE,,,,,pending,
sick.hpi.context.none,hpi,context,None,none,TRUE,,,,,pending,
sick.hpi.context.sick_contact,hpi,context,Sick contact,sick_contact,TRUE,,,,,pending,
sick.hpi.context.travel,hpi,context,Travel,travel,TRUE,,,,,pending,
sick.hpi.feeding.decreased,hpi,feeding,Decreased,decreased,TRUE,,,,,pending,
sick.hpi.feeding.normal,hpi,feeding,Normal,normal,TRUE,,,,,pending,
sick.hpi.feeding.refuses,hpi,feeding,Refuses,refuses,TRUE,,,,,pending,
sick.hpi.pain_location.abdominal,hpi,pain_location,Abdominal,abdominal,TRUE,,,,,pending,
sick.hpi.pain_location.ear,hpi,pain_location,Ear,ear,TRUE,,,,,pending,
sick.hpi.pain_location.head,hpi,pain_location,Head,head,TRUE,,,,,pending,
sick.hpi.pain_location.limb,hpi,pain_location,Limb,limb,TRUE,,,,,pending,
sick.hpi.pain_location.neck,hpi,pain_location,Neck,neck,TRUE,,,,,pending,
sick.hpi.pain_location.none,hpi,pain_location,None,none,TRUE,,,,,pending,
sick.hpi.pain_location.throat,hpi,pain_location,Throat,throat,TRUE,,,,,pending,
sick.hpi.stools.bloody_diarrhea,hpi,stools,Bloody diarrhea,bloody_diarrhea,TRUE,,,,,pending,
sick.hpi.stools.hard,hpi,stools,Hard,hard,TRUE,,,,,pending,
sick.hpi.stools.liquid,hpi,stools,Liquid,liquid,TRUE,,,,,pending,
sick.hpi.stools.normal,hpi,stools,Normal,normal,TRUE,,,,,pending,
sick.hpi.stools.soft,hpi,stools,Soft,soft,TRUE,,,,,pending,
sick.hpi.urination.decreased,hpi,urination,Decreased,decreased,TRUE,,,,,pending,
sick.hpi.urination.foul_smelling,hpi,urination,Foul-smelling,foul_smelling,TRUE,,,,,pending,
sick.hpi.urination.normal,hpi,urination,Normal,normal,TRUE,,,,,pending,
sick.hpi.urination.painful,hpi,urination,Painful,painful,TRUE,,,,,pending,
