token,domain,field,raw_value_en,value_norm,map_to_snomed,snomed_concept_id,snomed_fsn,snomed_semantic_tag,mapping_confidence,status,notes
sick.hpi.appearance.irritable,hpi,appearance,Irritable,irritable,TRUE,55929007,Feeling irritable (finding),(finding),exact,reviewed,
sick.hpi.appearance.lethargic,hpi,appearance,Lethargic,lethargic,TRUE,214264003,Lethargy (finding),(finding),exact,reviewed,
sick.hpi.appearance.tired,hpi,appearance,Tired,tired,TRUE,84229001,Fatigue (finding),(finding),approximate,reviewed,
sick.hpi.appearance.well,hpi,appearance,Well,well,FALSE,,,,,pending,
sick.hpi.breathing.fast,hpi,breathing,Fast,fast,TRUE,271823003,Tachypnea (finding),(finding),narrow,reviewed,
sick.hpi.breathing.labored,hpi,breathing,Labored,labored,TRUE,267036007,Dyspnea (finding),(finding),narrow,reviewed,
sick.hpi.breathing.noisy,hpi,breathing,Noisy,noisy,FALSE,,,,,pending,
sick.hpi.breathing.normal,hpi,breathing,Normal,normal,FALSE,,,,,pending,
sick.hpi.complaint.abdominal_pain,hpi,complaint,Abdominal pain,abdominal_pain,TRUE,21522001,Abdominal pain (finding),(finding),exact,reviewed,
sick.hpi.complaint.cough,hpi,complaint,Cough,cough,TRUE,49727002,Cough (finding),(finding),exact,reviewed,
sick.hpi.complaint.diarrhea,hpi,complaint,Diarrhea,diarrhea,TRUE,62315008,Diarrhea (finding),(finding),exact,reviewed,
sick.hpi.complaint.fever,hpi,complaint,Fever,fever,TRUE,386661006,Fever (finding),(finding),exact,reviewed,
sick.hpi.complaint.headache,hpi,complaint,Headache,headache,TRUE,25064002,Headache (finding),(finding),exact,reviewed,
sick.hpi.complaint.rash,hpi,complaint,Rash,rash,TRUE,271807003,Rash (finding),(finding),exact,pending,
sick.hpi.complaint.runny_nose,hpi,complaint,Runny nose,runny_nose,TRUE,64531003,Rhinorrhea (finding),(finding),exact,reviewed,
sick.hpi.complaint.vomiting,hpi,complaint,Vomiting,vomiting,TRUE,422400008,Vomiting (finding),(finding),exact,reviewed,
sick.hpi.context.daycare,hpi,context,Daycare,daycare,FALSE,,,,,pending,
