token,domain,field,raw_value,value_norm,source_array
sick.hpi.appearance.irritable,hpi,appearance,Irritable,irritable,appearanceChoices
sick.hpi.appearance.lethargic,hpi,appearance,Lethargic,lethargic,appearanceChoices
sick.hpi.appearance.tired,hpi,appearance,Tired,tired,appearanceChoices
sick.hpi.appearance.well,hpi,appearance,Well,well,appearanceChoices
sick.hpi.breathing.fast,hpi,breathing,Fast,fast,breathingChoices
sick.hpi.breathing.labored,hpi,breathing,Labored,labored,breathingChoices
sick.hpi.breathing.noisy,hpi,breathing,Noisy,noisy,breathingChoices
sick.hpi.breathing.normal,hpi,breathing,Normal,normal,breathingChoices
sick.hpi.complaint.abdominal_pain,hpi,complaint,Abdominal pain,abdominal_pain,complaintOptions
sick.hpi.complaint.cough,hpi,complaint,Cough,cough,complaintOptions
sick.hpi.complaint.diarrhea,hpi,complaint,Diarrhea,diarrhea,complaintOptions
sick.hpi.complaint.fever,hpi,complaint,Fever,fever,complaintOptions
sick.hpi.complaint.headache,hpi,complaint,Headache,headache,complaintOptions
sick.hpi.complaint.rash,hpi,complaint,Rash,rash,complaintOptions
sick.hpi.complaint.runny_nose,hpi,complaint,Runny nose,runny_nose,complaintOptions
sick.hpi.complaint.vomiting,hpi,complaint,Vomiting,vomiting,complaintOptions
sick.hpi.context.daycare,hpi,context,Daycare,daycare,contextChoices
sick.hpi.context.none,hpi,context,None,none,contextChoices
sick.hpi.context.sick_contact,hpi,context,Sick contact,sick_contact,contextChoices
sick.hpi.context.travel,hpi,context,Travel,travel,contextChoices
sick.hpi.feeding.decreased,hpi,feeding,Decreased,decreased,feedingChoices
sick.hpi.feeding.normal,hpi,feeding,Normal,normal,feedingChoices
sick.hpi.feeding.refuses,hpi,feeding,Refuses,refuses,feedingChoices
sick.hpi.pain_location.abdominal,hpi,pain_location,Abdominal,abdominal,painChoices
sick.hpi.pain_location.ear,hpi,pain_location,Ear,ear,painChoices
sick.hpi.pain_location.head,hpi,pain_location,Head,head,painChoices
sick.hpi.pain_location.limb,hpi,pain_location,Limb,limb,painChoices
sick.hpi.pain_location.neck,hpi,pain_location,Neck,neck,painChoices
sick.hpi.pain_location.none,hpi,pain_location,None,none,painChoices
sick.hpi.pain_location.throat,hpi,pain_location,Throat,throat,painChoices
